Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 108.0.0.0,,,2023-01-07 19:59:14,2023-01-07 20:02:52,3m - 38.018s,FAILED
,,,,,,,
Test Cases/Register/TC-A1-001,Chrome 108.0.0.0,Register akun dengan menginputkan email yang bukan formatnya,,2023-01-07 19:59:15,2023-01-07 19:59:28,13.597s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-07 19:59:15,2023-01-07 19:59:18,3.134s,PASSED
"navigateToUrl(""https://bioskoponline.com/"")",Chrome 108.0.0.0,,,2023-01-07 19:59:18,2023-01-07 19:59:21,2.718s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/span_Daftar""))",Chrome 108.0.0.0,,,2023-01-07 19:59:21,2023-01-07 19:59:26,4.649s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__name""), ""Afsyus Salaam"")",Chrome 108.0.0.0,,,2023-01-07 19:59:26,2023-01-07 19:59:27,1.073s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__email""), ""afsyussalaam@"")",Chrome 108.0.0.0,,,2023-01-07 19:59:27,2023-01-07 19:59:28,0.936s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/div_Email harus mengandung""))",Chrome 108.0.0.0,,,2023-01-07 19:59:28,2023-01-07 19:59:28,0.538s,PASSED
,,,,,,,
Test Cases/Register/TC-A1-002,Chrome 108.0.0.0,Register akun dengan menginputkan email yang bukan formatnya,,2023-01-07 19:59:28,2023-01-07 19:59:42,14.331s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-07 19:59:29,2023-01-07 19:59:31,2.060s,PASSED
"navigateToUrl(""https://bioskoponline.com/"")",Chrome 108.0.0.0,,,2023-01-07 19:59:31,2023-01-07 19:59:33,2.187s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/span_Daftar""))",Chrome 108.0.0.0,,,2023-01-07 19:59:33,2023-01-07 19:59:37,3.983s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__name""), ""Afsyus Salaam"")",Chrome 108.0.0.0,,,2023-01-07 19:59:37,2023-01-07 19:59:38,1.468s,PASSED
